"AB Ref No.","ASN Ref No","Document No.","Material No.",Qty,BBD,"Fulfillment Status","Created By","Last Change"
000293,000088,9800515160,9010000011,1280,2023-12-10,Done,"Shilaley Trilles","2023-07-09 08:08:08"
000294,000063,9800514604,9020000041,1120,2024-04-03,Done,"Shilaley Trilles","2023-07-07 00:25:18"
000295,000093,B2B070423Z45,9020000025,30,2024-02-29,Done,"Stephen Brix Esteban","2023-07-06 06:34:20"
000296,000093,B2B070423Z46,9020000236,70,2023-12-24,Done,"Stephen Brix Esteban","2023-07-06 06:34:13"
000297,000091,9800515383,9020000206,867,2024-03-15,Done,"Shilaley Trilles","2023-07-07 14:19:03"
000298,000091,9800515383,9020000206,45,2024-03-16,Done,"Shilaley Trilles","2023-07-07 14:19:10"
000299,000091,9800515383,9020000206,48,2024-03-19,Done,"Shilaley Trilles","2023-07-07 14:19:17"
000300,000094,9800515196,9020000236,1140,2024-01-04,Done,"Shilaley Trilles","2023-07-07 00:45:07"
000301,000094,9800515196,9020000236,60,2024-01-05,Done,"Shilaley Trilles","2023-07-07 00:45:21"
000302,000094,9800515413,9020000236,1200,2024-01-05,Done,"Shilaley Trilles","2023-07-07 06:44:18"
000303,000064,9800514601,9010000059,1300,2023-12-15,Done,"Christian Cordova","2023-07-06 20:20:43"
000304,000042,9800514025,9010000049,1088,2023-12-15,Done,"Christian Cordova","2023-07-08 06:15:19"
000305,000082,9800515079,9020000025,1120,2024-04-02,Done,"Christian Cordova","2023-07-09 01:12:59"
000306,000082,9800515072,9020000021,640,2024-03-14,Done,"Christian Cordova","2023-07-08 10:40:02"
000307,000082,9800515072,9020000025,560,2024-04-01,Done,"Christian Cordova","2023-07-08 10:40:10"
000308,000082,9800515084,9020000025,1120,2024-04-01,Done,"Christian Cordova","2023-07-08 15:07:08"
000309,000097,9800515195,9020000236,1080,2024-01-04,Done,"Christian Cordova","2023-07-07 06:05:00"
000310,000097,9800515195,9020000236,120,2024-01-05,Done,"Christian Cordova","2023-07-07 06:05:19"
000311,000096,9800515838,9020000206,720,2024-03-15,Done,"Christian Cordova","2023-07-07 17:47:13"
000312,000096,9800515838,9020000206,48,2024-03-20,Done,"Christian Cordova","2023-07-07 17:47:19"
000313,000096,9800515838,9020000206,96,2024-03-19,Done,"Christian Cordova","2023-07-07 17:47:25"
000314,000096,9800515838,9020000206,96,2024-03-16,Done,"Christian Cordova","2023-07-07 17:47:31"
000315,000082,9800515081,9020000025,1120,2024-04-01,Done,"Christian Cordova","2023-07-09 08:08:02"
000316,000081,9800515109,9010000071,850,2023-12-03,Done,"Christian Cordova","2023-07-07 02:43:41"
000317,000095,9800515789,9020000207,960,2024-03-10,Done,"Christian Cordova","2023-07-09 08:08:55"
000318,000081,9800515108,9010000014,850,2023-12-16,Done,"Shilaley Trilles","2023-07-07 05:23:46"
000319,000082,9800515080,9020000025,1120,2024-04-01,Done,"Shilaley Trilles","2023-07-08 17:27:28"
000320,000082,9800515075,9020000025,1120,2024-04-01,Done,"Shilaley Trilles","2023-07-07 18:02:55"
000321,000096,9800515860,9020000207,864,2024-03-10,Done,"Shilaley Trilles","2023-07-09 00:30:06"
000322,000096,9800515860,9020000207,96,2024-03-09,Done,"Shilaley Trilles","2023-07-09 00:30:38"
000323,000099,B2B070423Z59,9020000236,184,2023-12-23,Done,"Stephen Brix Esteban","2023-07-07 07:08:02"
000324,000099,B2B070423Z58,9020000207,400,2024-02-11,Done,"Stephen Brix Esteban","2023-07-07 07:08:09"
000326,000099,B2B070423Z56,9020000178,600,2024-03-29,Done,"Stephen Brix Esteban","2023-07-07 07:08:15"
000327,000099,B2B070423Z55,9020000071,200,2024-02-19,Done,"Stephen Brix Esteban","2023-07-07 07:08:21"
000328,000099,B2B070423Z54,9020000034,400,2024-02-10,Done,"Stephen Brix Esteban","2023-07-07 07:08:27"
000329,000099,B2B070423Z53,9020000030,200,2024-02-17,Done,"Stephen Brix Esteban","2023-07-07 07:08:34"
000330,000099,B2B070423Z52,9020000025,600,2024-02-29,Done,"Stephen Brix Esteban","2023-07-07 07:08:40"
000331,000099,B2B070423Z51,9010000075,200,2024-03-01,Done,"Stephen Brix Esteban","2023-07-07 07:08:46"
000332,000099,B2B070423Z50,9010000059,700,2023-11-10,Done,"Stephen Brix Esteban","2023-07-07 07:08:52"
000333,000099,B2B070423Z49,9010000054,600,2023-12-05,Done,"Stephen Brix Esteban","2023-07-07 07:08:58"
000334,000099,B2B070423Z48,9010000036,200,2024-03-03,Done,"Stephen Brix Esteban","2023-07-07 07:09:07"
000335,000099,B2B070423Z47,9010000023,250,2023-11-30,Done,"Stephen Brix Esteban","2023-07-07 07:09:12"
000336,000098,9800515607,9020000019,1120,2024-04-04,Done,"Shilaley Trilles","2023-07-07 17:57:51"
000337,000101,B2B070423Z61,9020000206,150,2024-02-23,Done,"Stephen Brix Esteban","2023-07-07 08:40:48"
000338,000101,B2B070423Z60,9020000022,100,2024-02-08,Done,"Stephen Brix Esteban","2023-07-07 08:40:55"
000339,000098,9800515614,9020000019,1120,2024-04-04,Done,"Shilaley Trilles","2023-07-07 14:00:22"
000340,000100,9800516118,9020000236,1199,2024-01-06,Done,"Christian Cordova","2023-07-08 03:20:59"
000341,000098,9800515612,9020000019,6,2024-03-04,Done,"Christian Cordova","2023-07-08 03:30:42"
000342,000098,9800515612,9020000019,1114,2024-04-04,Done,"Christian Cordova","2023-07-08 03:30:57"
000343,000098,9800515616,9020000034,1120,2024-04-04,Done,"Christian Cordova","2023-07-08 10:34:13"
000344,000102,9800516260,9020000236,1080,2024-01-06,Done,"Christian Cordova","2023-07-08 02:37:57"
000345,000102,9800516260,9020000236,120,2024-01-07,Done,"Christian Cordova","2023-07-08 02:38:09"
000346,000102,9800516263,9020000236,660,2024-01-06,Done,"Christian Cordova","2023-07-08 01:50:14"
000347,000102,9800516263,9020000236,540,2024-01-07,Done,"Christian Cordova","2023-07-08 01:50:32"
000348,000103,9800516382,9020000236,1200,2024-01-05,Done,"Christian Cordova","2023-07-09 08:09:06"
000349,000098,9800515615,9020000034,1120,2024-04-04,Done,"Christian Cordova","2023-07-08 18:17:32"
000350,000098,9800515617,9020000034,1120,2024-04-04,Done,"Christian Cordova","2023-07-09 01:55:41"
000351,000104,B2B070423Z64,9020000233,100,2024-03-29,Done,"Stephen Brix Esteban","2023-07-08 00:48:20"
000352,000104,B2B070423Z63,9020000232,100,2024-03-29,Done,"Stephen Brix Esteban","2023-07-08 00:48:31"
000353,000104,B2B070423Z62,9020000231,100,2024-03-29,Done,"Stephen Brix Esteban","2023-07-08 00:48:37"
000354,000105,9800516524,9020000236,540,2024-01-05,Done,"Shilaley Trilles","2023-07-09 08:09:12"
000355,000105,9800516524,9020000236,240,2024-01-06,Done,"Shilaley Trilles","2023-07-09 08:09:44"
000356,000105,9800516524,9020000236,420,2024-01-04,Done,"Shilaley Trilles","2023-07-09 08:10:21"
000357,000106,B2B070423Z69,9020000052,10,2024-02-27,Done,"Stephen Brix Esteban","2023-07-08 05:14:53"
000358,000106,B2B070423Z68,9020000029,10,2024-02-11,Done,"Stephen Brix Esteban","2023-07-08 05:14:58"
000359,000106,B2B070423Z67,9020000027,25,2024-02-26,Done,"Stephen Brix Esteban","2023-07-08 05:15:03"
000360,000106,B2B070423Z66,9020000018,15,2024-02-13,Done,"Stephen Brix Esteban","2023-07-08 05:15:08"
000361,000106,B2B070423Z65,9010000066,10,2023-12-07,Done,"Stephen Brix Esteban","2023-07-08 05:15:13"
000362,000109,B2B070423Z70,9020000040,800,2023-11-24,Done,"Stephen Brix Esteban","2023-07-08 05:56:22"
000363,000105,9800516343,9020000236,720,2024-01-06,Done,"Shilaley Trilles","2023-07-09 08:09:38"
000364,000105,9800516343,9020000236,480,2024-01-07,Done,"Shilaley Trilles","2023-07-09 08:08:38"
000365,000111,B2B070423Z72,9010000066,800,2023-12-07,Done,"Stephen Brix Esteban","2023-07-08 09:25:41"
000366,000111,B2B070423Z71,9010000054,800,2023-12-05,Done,"Stephen Brix Esteban","2023-07-08 09:26:04"
000367,000110,9800516714,9020000019,1120,2024-04-04,Done,"Shilaley Trilles","2023-07-09 00:36:24"
000368,000113,9800516289,9020000236,480,2024-01-05,Done,"Shilaley Trilles","2023-07-09 08:08:31"
000369,000113,9800516289,9020000236,720,2024-01-06,Done,"Shilaley Trilles","2023-07-09 08:06:13"
000370,000117,B2B070423Z77,9010000063,1270,2024-03-09,Done,"Christian B. Salvacion","2023-07-09 02:52:14"
000371,000117,B2B070423Z76,9010000051,3889,2024-05-16,Done,"Christian B. Salvacion","2023-07-09 02:52:22"
000372,000117,B2B070423Z75,9010000036,694,2024-03-03,Done,"Christian B. Salvacion","2023-07-09 02:57:02"
000373,000117,B2B070423Z73,9010000006,5218,2024-05-15,Done,"Stephen Brix Esteban","2023-07-09 02:58:04"
000374,000117,B2B070423Z74,9010000017,291,2023-11-13,Done,"Stephen Brix Esteban","2023-07-09 02:57:41"
000375,000118,B2B07092023Z78,9010000075,1864,2024-03-02,Done,"Christian B. Salvacion","2023-07-09 03:27:32"
000376,000118,B2B07092023Z79,9010000075,6863,2024-06-15,Done,"Christian B. Salvacion","2023-07-09 03:27:56"
000377,000118,B2B07092023Z80,9010000071,1200,2023-10-12,Done,"Christian B. Salvacion","2023-07-09 03:24:37"
000378,000118,B2B07092023Z81,9010000071,82,2023-12-03,Done,"Christian B. Salvacion","2023-07-09 03:25:04"
000379,000118,B2B07092023Z82,9010000011,1280,2023-12-10,Done,"Christian B. Salvacion","2023-07-09 03:25:27"
000380,000118,B2B07092023Z83,9010000056,896,2023-12-07,Done,"Christian B. Salvacion","2023-07-09 03:25:48"
000381,000118,B2B07092023Z84,9010000056,383,2023-12-08,Done,"Christian B. Salvacion","2023-07-09 03:26:48"
000383,000118,B2B07092023Z85,9010000074,586,2023-12-19,Done,"Christian B. Salvacion","2023-07-09 03:27:12"
000384,000118,B2B07092023Z86,9020000027,3403,2024-02-26,Done,"Christian B. Salvacion","2023-07-09 03:24:04"
000385,000119,B2B07092023Z88,9010000023,1490,2023-11-30,Done,"Christian B. Salvacion","2023-07-09 03:42:26"
000386,000119,B2B07092023Z87,9020000071,1526,2024-02-19,Done,"Christian B. Salvacion","2023-07-09 03:42:48"
000387,000120,B2B07092023Z89,9020000039,484,2023-11-23,Done,"Christian B. Salvacion","2023-07-09 05:55:31"
000388,000120,B2B07092023Z90,9020000041,100,2024-04-03,Done,"Christian B. Salvacion","2023-07-09 04:35:09"
000389,000120,B2B07092023Z91,9020000174,2151,2023-12-04,Done,"Christian B. Salvacion","2023-07-09 04:34:35"
000390,000120,B2B07092023Z92,9020000174,100,2023-12-03,Done,"Christian B. Salvacion","2023-07-09 04:34:16"
000391,000121,B2B07092023Z93,9020000072,1242,2023-12-01,Done,"Christian B. Salvacion","2023-07-09 05:50:28"
000392,000121,B2B07092023Z94,9020000018,660,2024-02-13,Done,"Christian B. Salvacion","2023-07-10 02:35:34"
000393,000121,B2B07092023Z95,9020000018,85,2023-12-06,Done,"Christian B. Salvacion","2023-07-10 03:37:33"
000394,000121,B2B07092023Z96,9020000018,416,2024-02-12,Done,"Christian B. Salvacion","2023-07-10 03:39:14"
000395,000121,B2B07092023Z106,9020000229,20,2024-01-27,Done,"Stephen Brix Esteban","2023-07-09 06:49:43"
000396,000121,B2B07092023Z97,9020000029,1506,2024-02-11,Done,"Christian B. Salvacion","2023-07-09 08:23:31"
000397,000121,B2B07092023Z107,9020000229,400,2024-02-10,Done,"Stephen Brix Esteban","2023-07-09 06:50:15"
000398,000121,B2B07092023Z108,9020000229,150,2024-02-09,Done,"Stephen Brix Esteban","2023-07-09 06:50:45"
000399,000121,B2B07092023Z109,9020000229,82,2024-02-08,Done,"Stephen Brix Esteban","2023-07-09 06:51:06"
000400,000121,B2B07092023Z110,9010000237,376,2024-03-04,Done,"Stephen Brix Esteban","2023-07-09 06:51:57"
000401,000121,B2B07092023Z98,9020000228,197,2024-01-29,Done,"Christian B. Salvacion","2023-07-09 05:59:23"
000402,000121,B2B07092023Z111,9010000238,349,2024-02-06,Done,"Stephen Brix Esteban","2023-07-09 06:52:37"
000403,000121,B2B07092023Z99,9020000008,1200,2023-10-25,Done,"Christian B. Salvacion","2023-07-09 05:59:53"
000404,000121,B2B07092023Z100,9020000008,1209,2023-10-29,Done,"Christian B. Salvacion","2023-07-09 06:00:26"
000405,000121,B2B07092023Z101,9020000008,992,2023-11-02,Done,"Christian B. Salvacion","2023-07-09 06:00:51"
000406,000121,B2B07092023Z102,9020000008,288,2023-11-03,Done,"Christian B. Salvacion","2023-07-09 06:01:18"
000407,000121,B2B07092023Z112,9020000030,7,2023-11-25,Done,"Stephen Brix Esteban","2023-07-09 06:52:52"
000408,000121,B2B07092023Z103,9020000008,64,2023-11-05,Done,"Christian B. Salvacion","2023-07-09 06:01:40"
000409,000121,B2B07092023Z104,9020000011,53,2023-11-10,Done,"Christian B. Salvacion","2023-07-09 06:02:04"
000410,000121,B2B07092023Z113,9020000030,1443,2024-02-17,Done,"Stephen Brix Esteban","2023-07-09 06:53:09"
000411,000121,B2B07092023Z105,9020000011,8,2023-11-02,Done,"Christian B. Salvacion","2023-07-09 06:02:18"
000412,000121,B2B07092023Z114,9020000030,43,2024-02-18,Done,"Stephen Brix Esteban","2023-07-09 06:53:25"
000413,000121,B2B07092023Z115,9020000180,211,2023-12-30,Done,"Stephen Brix Esteban","2023-07-09 06:53:42"
000414,000121,B2B07092023Z116,9020000226,30,2024-01-21,Done,"Stephen Brix Esteban","2023-07-09 06:53:58"
000415,000121,B2B07092023Z117,9020000048,402,2024-02-19,Done,"Stephen Brix Esteban","2023-07-09 06:54:13"
000416,000122,B2B07092023Z118,9010000084,610,2025-03-08,Done,"Christian B. Salvacion","2023-07-09 08:22:11"
000417,000122,B2B07092023Z119,9010000084,5825,2025-04-20,Done,"Christian B. Salvacion","2023-07-09 08:22:22"
000418,000122,B2B07092023Z120,9010000014,140,2023-12-01,Done,"Christian B. Salvacion","2023-07-09 08:22:28"
000419,000122,B2B07092023Z121,9010000014,5866,2023-12-02,Done,"Christian B. Salvacion","2023-07-09 08:22:33"
000420,000122,B2B07092023Z122,9010000014,2206,2023-12-03,Done,"Christian B. Salvacion","2023-07-09 08:22:39"
000421,000122,B2B07092023Z123,9010000014,51,2023-12-16,Done,"Christian B. Salvacion","2023-07-09 08:22:46"
000422,000122,B2B07092023Z124,9010000044,1379,2023-10-13,Done,"Christian B. Salvacion","2023-07-09 08:22:54"
000423,000122,B2B07092023Z125,9010000044,584,2023-12-10,Done,"Christian B. Salvacion","2023-07-09 08:23:01"
000424,000122,B2B07092023Z126,9010000059,500,2023-12-15,Done,"Christian B. Salvacion","2023-07-09 08:23:08"
000425,000122,B2B07092023Z127,9010000059,452,2023-12-14,Done,"Christian B. Salvacion","2023-07-09 08:23:14"
000426,000122,B2B07092023Z128,9010000059,872,2023-11-10,Done,"Christian B. Salvacion","2023-07-09 08:23:19"
000427,000122,B2B07092023Z129,9010000059,5573,2023-12-13,Done,"Christian B. Salvacion","2023-07-09 08:23:25"
000428,000122,B2B07092023Z130,9010000059,849,2023-12-16,Done,"Christian B. Salvacion","2023-07-09 08:23:37"
000429,000123,B2B07092023Z131,9010000035,207,2023-11-11,Done,"Christian B. Salvacion","2023-07-10 04:10:04"
000430,000123,B2B07092023Z132,9010000035,707,2023-12-16,Done,"Christian B. Salvacion","2023-07-10 04:10:10"
000431,000123,B2B07092023Z133,9010000035,810,2023-11-12,Done,"Christian B. Salvacion","2023-07-10 04:10:16"
000432,000123,B2B07092023Z134,9010000035,114,2023-12-15,Done,"Christian B. Salvacion","2023-07-10 04:10:32"
000433,000123,B2B07092023Z135,9010000062,137,2023-11-19,Done,"Christian B. Salvacion","2023-07-10 04:10:38"
000434,000123,B2B07092023Z136,9010000009,1174,2023-12-06,Done,"Christian B. Salvacion","2023-07-10 04:10:44"
000435,000123,B2B07092023Z137,9010000009,3589,2023-12-07,Done,"Christian B. Salvacion","2023-07-10 04:10:50"
000436,000123,B2B07092023Z138,9010000019,1959,2023-12-08,Done,"Christian B. Salvacion","2023-07-10 04:13:18"
000437,000123,B2B07092023Z139,9010000039,238,2023-12-05,Done,"Christian B. Salvacion","2023-07-10 04:13:26"
000438,000123,B2B07092023Z140,9010000054,6156,2023-12-06,Done,"Christian B. Salvacion","2023-07-10 04:13:32"
000439,000123,B2B07092023Z141,9010000054,8647,2023-12-05,Done,"Christian B. Salvacion","2023-07-10 04:13:42"
000440,000123,B2B07092023Z142,9010000078,4656,2023-11-20,Done,"Christian B. Salvacion","2023-07-10 04:13:48"
000441,000123,B2B07092023Z143,9010000078,5034,2023-11-21,Done,"Christian B. Salvacion","2023-07-10 04:13:55"
000442,000123,B2B07092023Z144,9010000066,2036,2023-12-07,Done,"Christian B. Salvacion","2023-07-10 04:14:02"
000443,000123,B2B07092023Z145,9020000206,667,2024-02-23,Done,"Christian B. Salvacion","2023-07-10 04:14:07"
000444,000123,B2B07092023Z146,9020000206,298,2024-02-24,Done,"Christian B. Salvacion","2023-07-10 04:14:12"
000445,000123,B2B07092023Z147,9020000206,26,2024-02-10,Done,"Christian B. Salvacion","2023-07-10 04:14:17"
000446,000123,B2B07092023Z148,9020000206,904,2024-03-15,Done,"Christian B. Salvacion","2023-07-10 04:14:22"
000447,000123,B2B07092023Z149,9020000206,8,2024-03-19,Done,"Christian B. Salvacion","2023-07-10 04:14:27"
000448,000123,B2B07092023Z150,9020000019,946,2024-03-01,Done,"Christian B. Salvacion","2023-07-10 04:14:33"
000449,000123,B2B07092023Z151,9020000019,1700,2024-03-02,Done,"Christian B. Salvacion","2023-07-10 04:14:41"
