"AB Ref No.","ASN Ref No","Document No.","Material No.",Qty,BBD,"Fulfillment Status","Created By","Last Change"
000470,000124,B2B07092023Z164,9020000022,503,2024-02-10,Done,"Christian B. Salvacion","2023-07-10 06:49:28"
000471,000124,B2B07092023Z165,9020000022,1950,2024-02-12,Done,"Christian B. Salvacion","2023-07-10 06:49:49"
000472,000124,B2B07092023Z166,9020000022,237,2024-03-09,Done,"Christian B. Salvacion","2023-07-10 06:50:07"
000473,000124,B2B07092023Z167,9020000032,1141,2023-12-11,Done,"Christian B. Salvacion","2023-07-10 06:50:50"
000474,000124,B2B07092023Z168,9020000032,779,2024-03-08,Done,"Christian B. Salvacion","2023-07-10 06:51:10"
000475,000124,B2B07092023Z170,9020000207,151,2024-01-05,Done,"Christian B. Salvacion","2023-07-10 06:51:31"
000476,000124,B2B07092023Z171,9020000207,572,2023-12-10,Done,"Christian B. Salvacion","2023-07-10 06:51:56"
000477,000124,B2B07092023Z172,9020000207,1270,2024-02-12,Done,"Christian B. Salvacion","2023-07-10 06:52:15"
000478,000124,B2B07092023Z173,9020000207,708,2024-02-13,Done,"Christian B. Salvacion","2023-07-10 06:52:45"
000479,000124,B2B07092023Z174,9020000207,1019,2024-02-11,Done,"Christian B. Salvacion","2023-07-10 06:52:54"
000480,000124,B2B07092023Z175,9020000207,864,2024-03-10,Done,"Christian B. Salvacion","2023-07-10 06:53:11"
000481,000124,B2B07092023Z176,9020000207,96,2024-03-09,Done,"Christian B. Salvacion","2023-07-10 06:53:37"
000482,000124,B2B07092023Z177,9020000233,1825,2024-03-29,Done,"Christian B. Salvacion","2023-07-10 06:56:26"
000483,000124,B2B07092023Z178,9020000232,1750,2024-03-29,Done,"Christian B. Salvacion","2023-07-10 06:54:15"
000484,000125,B2B07092023Z179,9010000083,1189,2025-01-17,Done,"Christian B. Salvacion","2023-07-10 06:54:38"
000485,000125,B2B07092023Z180,9010000083,500,2025-03-08,Done,"Christian B. Salvacion","2023-07-10 06:54:54"
000486,000125,B2B07092023Z181,9010000083,7202,2025-04-11,Done,"Christian B. Salvacion","2023-07-10 06:55:16"
000487,000125,B2B07092023Z182,9010000083,2600,2025-04-08,Done,"Christian B. Salvacion","2023-07-10 06:55:29"
000488,000128,9800517204,9010000004,640,2023-12-17,Done,"Shilaley Trilles","2023-07-10 22:46:04"
000489,000129,9800517212,9020000025,1120,2024-04-05,Done,"Shilaley Trilles","2023-07-11 01:22:15"
000490,000128,9800517179,9010000014,850,2024-12-16,Done,"Christian Cordova","2023-07-10 23:18:55"
000491,000128,9800517172,9010000014,850,2023-12-16,Done,"Christian Cordova","2023-07-10 23:56:28"
000492,000128,9800517181,9010000014,849,2023-12-16,Done,"Christian Cordova","2023-07-11 02:15:47"
000493,000128,9800517178,9010000014,850,2023-12-16,Done,"Christian Cordova","2023-07-11 02:15:11"
000494,000128,9800517175,9010000014,849,2023-12-16,Done,"Christian Cordova","2023-07-11 02:16:49"
000495,000129,9800517213,9020000025,1008,2024-04-05,Done,"Christian Cordova","2023-07-11 06:10:12"
000496,000129,9800517213,9020000025,112,2024-04-06,Done,"Christian Cordova","2023-07-11 06:10:17"
000497,000128,9800517168,9010000014,36,2023-12-03,Done,"Christian Cordova","2023-07-11 05:42:44"
000498,000128,9800517168,9010000014,70,2023-12-16,Done,"Christian Cordova","2023-07-11 05:42:50"
000499,000128,9800517168,9010000004,576,2023-12-17,Done,"Christian Cordova","2023-07-11 05:42:55"
000500,000129,9800517217,9020000025,1120,2024-04-06,Done,"Christian Cordova","2023-07-12 06:27:53"
000501,000130,9800517288,9020000176,128,2024-03-28,Done,"Christian Cordova","2023-07-12 00:20:12"
000502,000130,9800517288,9020000176,448,2024-03-30,Done,"Christian Cordova","2023-07-12 00:20:19"
000503,000130,9800517288,9020000176,44,2024-04-01,Done,"Christian Cordova","2023-07-12 00:20:25"
000504,000130,9800517288,9020000176,20,2024-04-01,Done,"Christian Cordova","2023-07-12 00:20:34"
000505,000130,9800517472,9020000178,32,2024-03-26,Done,"Christian Cordova","2023-07-13 23:21:36"
000506,000130,9800517472,9020000178,607,2024-03-27,Done,"Christian Cordova","2023-07-13 23:21:44"
000507,000130,9800517207,9020000176,32,2024-03-27,Done,"Christian Cordova","2023-07-12 00:21:11"
000508,000130,9800517207,9020000176,288,2024-03-28,Done,"Christian Cordova","2023-07-12 00:21:16"
000509,000130,9800517207,9020000176,320,2024-03-30,Done,"Christian Cordova","2023-07-12 00:21:21"
000510,000131,9800517211,9020000178,224,2024-03-26,Done,"Christian Cordova","2023-07-24 05:26:13"
000511,000131,9800517211,9020000178,414,2024-03-27,Done,"Christian Cordova","2023-07-24 05:26:02"
000512,000129,9800517214,9020000025,1120,2024-04-06,Done,"Christian Cordova","2023-07-12 02:30:32"
000513,000128,9800517202,9010000004,832,2023-12-17,Done,"Crist Anthony Rafael","2023-07-12 01:55:53"
000514,000128,9800517199,9010000004,832,2023-12-17,Done,"Crist Anthony Rafael","2023-07-12 03:14:17"
000515,000128,9800517201,9010000004,832,2023-12-17,Done,"Crist Anthony Rafael","2023-07-12 03:15:56"
000516,000131,9800517208,9020000176,128,2024-03-27,Done,"Crist Anthony Rafael","2023-07-12 03:26:48"
000517,000131,9800517208,9020000176,352,2024-04-04,Done,"Crist Anthony Rafael","2023-07-12 00:18:15"
000518,000131,9800517208,9020000176,64,2024-04-03,Done,"Crist Anthony Rafael","2023-07-11 21:16:44"
000519,000131,9800517208,9020000176,64,2024-03-28,Done,"Crist Anthony Rafael","2023-07-11 21:16:57"
000520,000131,9800517208,9020000176,32,2024-04-01,Done,"Crist Anthony Rafael","2023-07-11 21:17:09"
000521,000129,9800517215,9020000025,56,2024-04-05,Done,"Crist Anthony Rafael","2023-07-15 10:46:51"
000522,000129,9800517215,9020000025,1064,2024-04-06,Done,"Crist Anthony Rafael","2023-07-15 10:47:04"
000523,000133,9800517829,9010000004,640,2023-12-17,Done,"Christian Cordova","2023-07-12 03:22:13"
000524,000133,9800517808,9010000004,640,2023-12-17,Done,"Christian Cordova","2023-07-12 06:26:26"
000525,000133,9800517801,9010000039,720,2024-01-10,Done,"Christian Cordova","2023-07-20 13:50:07"
000526,000133,9800517804,9010000039,720,2024-01-10,Done,"Christian Cordova","2023-07-14 09:20:25"
000527,000133,9800517806,9010000039,720,2024-01-10,Done,"Christian Cordova","2023-07-13 06:43:50"
000528,000133,9800517803,9010000039,720,2024-01-10,Done,"Christian Cordova","2023-07-14 22:34:15"
000529,000133,9800517805,9010000039,720,2024-01-10,Done,"Christian Cordova","2023-07-13 07:18:40"
000530,000134,KYWU2160730,9010000084,2361,2025-06-20,Done,"Shilaley Trilles","2023-07-12 23:00:06"
000531,000134,KYWU2160730,9010000084,239,2025-03-20,Done,"Shilaley Trilles","2023-07-12 23:00:24"
000532,000134,KYWU2180422,9010000083,1600,2025-04-11,Done,"Shilaley Trilles","2023-07-12 19:45:22"
000533,000134,KYWU2180422,9010000083,1000,2025-06-20,Done,"Shilaley Trilles","2023-07-12 19:45:41"
000534,000134,KYWU2130566,9010000084,2600,2025-04-20,Done,"Shilaley Trilles","2023-07-13 03:35:42"
000535,000134,KYWU2160391,9010000083,2000,2025-04-11,Done,"Shilaley Trilles","2023-07-13 00:24:08"
000536,000134,KYWU2160391,9010000083,600,2025-06-20,Done,"Shilaley Trilles","2023-07-13 00:24:18"
000537,000134,KYWU2220356,9010000083,900,2025-04-11,Done,"Shilaley Trilles","2023-07-13 03:11:30"
000538,000134,KYWU2220356,9010000083,1700,2025-06-20,Done,"Shilaley Trilles","2023-07-24 05:25:45"
000539,000134,KYWU2151553,9010000084,2082,2025-06-20,Done,"Christian Cordova","2023-07-13 02:18:59"
000540,000134,KYWU2151553,9010000084,518,2025-03-20,Done,"Christian Cordova","2023-07-13 02:19:05"
000541,000135,9800518308,9010000004,640,2023-12-17,Done,"Christian Cordova","2023-07-14 00:37:51"
000542,000138,9800518356,9020000174,240,2024-03-23,Done,"Christian Cordova","2023-07-24 05:25:28"
000543,000138,9800518356,9020000174,720,2024-03-22,Done,"Christian Cordova","2023-07-24 05:25:01"
000544,000136,9800518615,9020000025,560,2024-04-06,Done,"Christian Cordova","2023-07-14 22:39:51"
000545,000136,9800518615,9020000031,640,2024-04-07,Done,"Christian Cordova","2023-07-14 22:40:00"
000546,000133,9800517827,9010000004,608,2023-12-17,Done,"Shilaley Trilles","2023-07-14 02:48:27"
000547,000133,9800517827,9010000004,32,2023-12-16,Done,"Shilaley Trilles","2023-07-14 02:48:34"
000548,000135,9800517978,9010000016,680,2024-01-11,Done,"Shilaley Trilles","2023-07-14 03:58:27"
000549,000133,9800517830,9010000004,817,2023-12-17,Done,"Christian Cordova","2023-07-14 07:33:50"
000550,000133,9800517830,9010000004,15,2023-12-18,Done,"Christian Cordova","2023-07-14 07:33:57"
000551,000140,9800519017,9010000202,640,2023-12-18,Done,"Christian Cordova","2023-07-17 00:17:30"
000552,000135,9800517981,9010000016,680,2024-01-11,Done,"Christian Cordova","2023-07-14 02:56:09"
000553,000135,9800518317,9010000049,640,2023-11-30,Done,"Christian Cordova","2023-07-17 02:01:11"
000554,000139,9800518775,9020000206,23,2024-02-24,Done,"Christian Cordova","2023-07-15 01:26:11"
000555,000139,9800518775,9020000206,336,2024-03-15,Done,"Christian Cordova","2023-07-15 01:26:15"
000556,000139,9800518775,9020000206,576,2024-03-16,Done,"Christian Cordova","2023-07-15 01:26:20"
000557,000135,9800517983,9010000016,680,2024-01-11,Done,"Christian Cordova","2023-07-14 06:34:00"
000558,000135,9800517985,9010000016,680,2024-01-11,Done,"Christian Cordova","2023-07-14 06:45:16"
000559,000141,9800518797,9010000016,680,2024-01-11,Done,"Christian Cordova","2023-07-14 23:39:32"
000560,000135,9800517982,9010000016,260,2024-01-11,Done,"Christian Cordova","2023-07-17 19:27:42"
000561,000135,9800517982,9010000004,64,2023-12-16,Done,"Christian Cordova","2023-07-17 19:27:57"
000562,000135,9800517982,9010000004,364,2023-12-17,Done,"Christian Cordova","2023-07-17 19:28:08"
000563,000138,9800518355,9020000236,240,2024-01-11,Done,"Christian Cordova","2023-07-24 05:23:48"
000564,000138,9800518355,9020000236,60,2024-01-10,Done,"Christian Cordova","2023-07-24 05:24:09"
000565,000138,9800518355,9020000236,900,2024-01-12,Done,"Christian Cordova","2023-07-24 05:24:31"
000566,000139,9800518783,9020000010,816,2024-01-11,Done,"Christian Cordova","2023-07-14 08:11:40"
000567,000139,9800518783,9020000010,96,2024-01-08,Done,"Christian Cordova","2023-07-14 08:11:46"
000568,000139,9800518783,9020000010,48,2024-01-07,Done,"Christian Cordova","2023-07-14 08:11:52"
000569,000137,9800518352,9020000072,48,2024-03-20,Done,"Christian Cordova","2023-07-14 23:28:24"
000570,000137,9800518352,9020000072,864,2024-03-21,Done,"Christian Cordova","2023-07-14 23:28:30"
000571,000137,9800518352,9020000072,48,2024-03-22,Done,"Christian Cordova","2023-07-14 23:28:35"
000573,000137,9800518351,9020000174,576,2024-03-22,Done,"Christian Cordova","2023-07-15 02:00:35"
000574,000137,9800518351,9020000174,384,2024-03-23,Done,"Christian Cordova","2023-07-15 02:00:40"
000575,000133,9800517832,9010000004,32,2023-12-16,Done,"Christian Cordova","2023-07-17 00:16:09"
000576,000133,9800517832,9010000004,800,2023-12-17,Done,"Christian Cordova","2023-07-17 00:16:15"
000577,000135,9800518311,9010000074,40,2024-01-13,Done,"Christian Cordova","2023-07-16 22:57:38"
000578,000135,9800518311,9010000074,640,2024-01-14,Done,"Christian Cordova","2023-07-16 22:57:43"
000579,000141,9800518795,9010000016,680,2024-01-11,Done,"Christian Cordova","2023-07-24 05:23:26"
000580,000141,9800518786,9010000016,680,2024-01-11,Done,"Christian Cordova","2023-07-24 05:22:56"
000581,000142,9800519254,9010000066,720,2024-01-13,Done,"Christian Cordova","2023-07-24 05:19:17"
000582,000143,9800519248,9020000176,256,2024-03-28,Done,"Christian Cordova","2023-07-15 09:25:57"
000583,000143,9800519248,9020000176,384,2024-03-30,Done,"Christian Cordova","2023-07-15 09:26:08"
000584,000143,9800519244,9020000229,96,2024-03-20,Done,"Christian Cordova","2023-07-16 01:36:41"
000585,000143,9800519244,9020000229,863,2024-03-24,Done,"Christian Cordova","2023-07-16 01:36:51"
000586,000143,9800519244,9020000229,1,2024-03-16,Done,"Christian Cordova","2023-07-16 01:37:02"
000587,000143,9800519246,9020000176,64,2024-03-28,Done,"Christian Cordova","2023-07-15 09:26:29"
000588,000143,9800519246,9020000176,128,2024-03-30,Done,"Christian Cordova","2023-07-15 09:26:35"
000589,000143,9800519246,9020000176,96,2024-04-01,Done,"Christian Cordova","2023-07-15 09:26:40"
000590,000143,9800519246,9020000176,288,2024-04-04,Done,"Christian Cordova","2023-07-15 09:26:44"
000591,000143,9800519246,9020000176,64,2024-04-03,Done,"Christian Cordova","2023-07-15 09:26:50"
000592,000143,9800519245,9020000176,192,2024-03-27,Done,"Christian Cordova","2023-07-15 09:25:19"
000593,000143,9800519245,9020000176,256,2024-03-30,Done,"Christian Cordova","2023-07-15 09:25:25"
000594,000143,9800519245,9020000176,32,2024-04-03,Done,"Christian Cordova","2023-07-15 09:25:32"
000595,000143,9800519245,9020000176,160,2024-04-04,Done,"Christian Cordova","2023-07-15 09:25:37"
000596,000143,9800519247,9020000176,64,2024-03-27,Done,"Christian Cordova","2023-07-17 08:31:13"
000597,000143,9800519247,9020000176,191,2024-03-28,Done,"Christian Cordova","2023-07-17 08:31:18"
000598,000143,9800519247,9020000176,320,2024-03-30,Done,"Christian Cordova","2023-07-17 08:31:24"
000599,000143,9800519247,9020000176,64,2024-04-04,Done,"Christian Cordova","2023-07-17 08:31:29"
000600,000142,9800519260,9010000066,720,2024-01-13,Done,"Christian Cordova","2023-07-15 23:20:44"
000601,000143,9800518777,9020000229,432,2024-03-24,Done,"Shilaley Trilles","2023-07-16 01:52:23"
000602,000143,9800518777,9020000229,48,2024-03-26,Done,"Shilaley Trilles","2023-07-16 01:52:33"
000603,000142,9800519250,9010000066,720,2024-01-13,Done,"Shilaley Trilles","2023-07-15 23:20:21"
000604,000142,9800519255,9010000066,720,2024-01-13,Done,"Shilaley Trilles","2023-07-15 23:20:33"
000605,000142,9800519261,9010000009,720,2024-01-11,Done,"Shilaley Trilles","2023-07-16 01:40:51"
000606,000141,9800518798,9010000063,1614,2024-07-12,Done,"Shilaley Trilles","2023-07-17 07:22:00"
000607,000144,9800518354,9020000174,720,2024-03-22,Done,"Shilaley Trilles","2023-07-17 07:33:35"
000608,000144,9800518354,9020000174,240,2024-03-23,Done,"Shilaley Trilles","2023-07-17 07:33:41"
000609,000143,9800518770,9020000010,480,2024-01-11,Done,"Shilaley Trilles","2023-07-18 08:33:57"
000610,000143,9800518770,9020000010,336,2024-01-13,Done,"Shilaley Trilles","2023-07-18 08:34:10"
000611,000143,9800518770,9020000010,144,2024-01-14,Done,"Shilaley Trilles","2023-07-18 08:34:17"
000612,000141,9800518799,9010000004,680,2024-01-14,Done,"Shilaley Trilles","2023-07-20 06:57:51"
000613,000143,9800518784,9020000010,960,2024-01-13,Done,"Shilaley Trilles","2023-07-19 06:14:18"
000614,000143,9800518773,9020000010,960,2024-01-11,Done,"Shilaley Trilles","2023-07-18 01:42:25"
000615,000135,9800518314,9010000074,647,2024-01-14,Done,"Shilaley Trilles","2023-07-24 05:13:01"
000616,000135,9800518314,9010000074,233,2024-01-13,Done,"Shilaley Trilles","2023-07-24 05:13:17"
000617,000142,9800519263,9010000009,720,2024-01-11,Done,"Shilaley Trilles","2023-07-24 05:12:50"
000618,000135,9800518313,9010000074,320,2024-01-14,Done,"Shilaley Trilles","2023-07-24 05:12:01"
000619,000135,9800518313,9010000074,560,2024-01-13,Done,"Shilaley Trilles","2023-07-24 05:12:11"
000620,000147,9800519834,9020000072,96,2024-03-20,Done,"Crist Anthony Rafael","2023-07-24 05:11:05"
000621,000147,9800519834,9020000072,624,2024-03-21,Done,"Crist Anthony Rafael","2023-07-24 05:11:35"
000622,000147,9800519834,9020000072,240,2024-03-22,Done,"Crist Anthony Rafael","2023-07-24 05:11:45"
000623,000147,9800519815,9020000176,288,2024-03-28,Done,"Crist Anthony Rafael","2023-07-17 08:31:34"
000624,000147,9800519815,9020000176,352,2024-03-30,Done,"Crist Anthony Rafael","2023-07-17 08:31:39"
000625,000147,9800519829,9020000176,512,2024-03-28,Done,"Crist Anthony Rafael","2023-07-17 08:31:44"
000626,000147,9800519829,9020000176,128,2024-03-30,Done,"Crist Anthony Rafael","2023-07-17 08:31:48"
000627,000147,9800519812,9020000071,912,2024-04-01,Done,"Crist Anthony Rafael","2023-07-17 10:57:37"
000628,000147,9800519812,9020000071,48,2024-04-02,Done,"Crist Anthony Rafael","2023-07-17 10:57:49"
000629,000147,9800519828,9020000175,720,2024-03-24,Done,"Shilaley Trilles","2023-07-17 08:30:41"
000630,000147,9800519828,9020000174,98,2024-03-22,Done,"Shilaley Trilles","2023-07-24 05:07:50"
000631,000147,9800519828,9020000174,94,2024-03-23,Done,"Shilaley Trilles","2023-07-24 05:08:00"
000632,000147,9800519828,9020000174,48,2024-03-24,Done,"Shilaley Trilles","2023-07-24 05:08:25"
000633,000147,9800520119,9020000030,959,2024-04-13,Done,"Shilaley Trilles","2023-07-24 05:07:26"
000634,000143,9800518777,9010000246,1440,2023-11-01,Done,"Shilaley Trilles","2023-07-17 04:05:54"
000635,000148,9800519814,9020000030,228,2024-04-13,Done,"Shilaley Trilles","2023-07-17 08:46:16"
000636,000148,9800519814,9020000030,732,2024-04-14,Done,"Shilaley Trilles","2023-07-17 08:46:09"
000637,000150,9800519818,9020000178,448,2024-04-01,Done,"Shilaley Trilles","2023-07-17 11:10:33"
000638,000150,9800519818,9020000178,160,2024-04-02,Done,"Shilaley Trilles","2023-07-17 11:11:06"
000639,000150,9800519818,9020000178,32,2024-03-26,Done,"Shilaley Trilles","2023-07-17 11:12:10"
000640,000149,9800520319,9020000236,60,2024-01-04,Done,"Shilaley Trilles","2023-07-18 14:12:57"
000641,000149,9800520319,9020000236,60,2024-01-07,Done,"Shilaley Trilles","2023-07-18 14:13:13"
000642,000149,9800520319,9020000236,720,2024-01-08,Done,"Shilaley Trilles","2023-07-18 14:13:27"
000643,000149,9800520319,9020000236,60,2024-01-11,Done,"Shilaley Trilles","2023-07-18 14:13:40"
000644,000149,9800520319,9020000236,60,2024-01-12,Done,"Shilaley Trilles","2023-07-18 14:13:50"
000645,000149,9800520319,9020000236,180,2024-01-13,Done,"Shilaley Trilles","2023-07-18 14:14:47"
000646,000149,9800520319,9020000236,60,2024-01-15,Done,"Shilaley Trilles","2023-07-18 14:15:14"
000647,000150,9800519827,9020000178,416,2024-04-01,Done,"Shilaley Trilles","2023-07-17 10:57:14"
000648,000150,9800519827,9020000178,223,2024-04-02,Done,"Shilaley Trilles","2023-07-17 10:58:09"
000649,000149,9800520281,9020000236,720,2024-01-05,Done,"Shilaley Trilles","2023-07-17 20:20:22"
000650,000149,9800520281,9020000236,300,2024-01-12,Done,"Shilaley Trilles","2023-07-17 20:20:34"
000651,000149,9800520281,9020000236,180,2024-01-08,Done,"Shilaley Trilles","2023-07-17 20:20:49"
000652,000149,9800520284,9020000012,288,2024-01-15,Done,"Shilaley Trilles","2023-07-17 23:30:35"
000653,000149,9800520284,9020000012,672,2024-01-16,Done,"Shilaley Trilles","2023-07-17 23:30:40"
000654,000151,9800519820,9020000176,608,2024-03-30,Done,"Shilaley Trilles","2023-07-17 20:28:51"
000655,000151,9800519820,9020000176,32,2024-03-28,Done,"Shilaley Trilles","2023-07-17 20:29:12"
000656,000149,9800520310,9020000175,480,2024-03-24,Done,"Shilaley Trilles","2023-07-19 00:45:07"
000657,000149,9800520310,9020000012,480,2024-01-15,Done,"Shilaley Trilles","2023-07-19 00:45:13"
000658,000153,9800520313,9020000012,960,2024-01-15,Done,"Shilaley Trilles","2023-07-18 08:47:53"
000659,000152,9800520345,9010000062,640,2024-01-17,Done,"Shilaley Trilles","2023-07-22 03:31:56"
000660,000152,9800520348,9010000062,640,2024-01-17,Done,"Shilaley Trilles","2023-07-22 03:32:13"
000661,000152,9800520350,9010000049,640,2023-12-15,Done,"Shilaley Trilles","2023-07-19 01:33:27"
000662,000152,9800520349,9010000062,638,2024-01-17,Done,"Shilaley Trilles","2023-07-18 02:32:47"
000663,000152,9800520349,9010000062,2,2024-01-16,Done,"Shilaley Trilles","2023-07-18 02:33:02"
000664,000154,9800520321,9020000236,660,2024-01-08,Done,"Shilaley Trilles","2023-07-24 05:06:19"
000665,000154,9800520321,9020000236,480,2024-01-10,Done,"Shilaley Trilles","2023-07-24 05:06:29"
000666,000154,9800520321,9020000236,60,2024-01-12,Done,"Shilaley Trilles","2023-07-24 05:06:09"
000667,000152,9800520361,9010000004,680,2024-01-14,Done,"Shilaley Trilles","2023-07-19 00:38:45"
000668,000156,9800520320,9020000236,120,2024-01-06,Done,"Shilaley Trilles","2023-07-19 02:30:22"
000669,000156,9800520320,9020000236,60,2024-01-10,Done,"Shilaley Trilles","2023-07-19 02:31:31"
000670,000156,9800520320,9020000236,900,2024-01-11,Done,"Shilaley Trilles","2023-07-19 02:31:36"
000671,000156,9800520320,9020000236,120,2024-01-13,Done,"Shilaley Trilles","2023-07-19 02:31:45"
000673,000156,9800520315,9020000178,448,2024-03-26,Done,"Shilaley Trilles","2023-07-18 21:09:29"
000674,000156,9800520315,9020000178,160,2024-03-27,Done,"Shilaley Trilles","2023-07-18 21:09:40"
000675,000156,9800520315,9020000178,32,2024-03-29,Done,"Shilaley Trilles","2023-07-18 21:09:49"
000676,000152,9800520360,9010000004,680,2024-01-14,Done,"Shilaley Trilles","2023-07-19 12:43:01"
000677,000152,9800520358,9010000004,680,2024-01-14,Done,"Shilaley Trilles","2023-07-19 08:13:48"
000678,000156,9800520940,9020000178,320,2024-03-26,Done,"Shilaley Trilles","2023-07-19 18:22:53"
000679,000156,9800520940,9020000178,160,2024-03-27,Done,"Shilaley Trilles","2023-07-19 18:23:08"
000680,000156,9800520940,9020000178,138,2024-03-29,Done,"Shilaley Trilles","2023-07-19 18:23:18"
000681,000156,9800520940,9020000178,22,2024-04-02,Done,"Shilaley Trilles","2023-07-19 18:23:29"
000682,000156,9800520318,9020000178,640,2024-03-26,Done,"Shilaley Trilles","2023-07-19 02:41:25"
000683,000156,9800520316,9020000176,448,2024-03-28,Done,"Shilaley Trilles","2023-07-20 22:45:29"
000684,000156,9800520316,9020000176,96,2024-03-30,Done,"Shilaley Trilles","2023-07-20 22:45:37"
000685,000156,9800520316,9020000176,96,2024-04-04,Done,"Shilaley Trilles","2023-07-20 22:45:54"
000686,000156,9800520939,9020000176,64,2024-03-30,Done,"Shilaley Trilles","2023-07-19 18:24:00"
000687,000156,9800520939,9020000176,128,2024-04-03,Done,"Shilaley Trilles","2023-07-19 18:24:10"
000688,000156,9800520939,9020000176,448,2024-04-04,Done,"Shilaley Trilles","2023-07-19 18:24:20"
000689,000157,9800520980,9010000049,640,2024-01-17,Done,"Shilaley Trilles","2023-07-19 05:57:08"
000690,000157,9800520969,9010000035,640,2024-01-18,Done,"Shilaley Trilles","2023-07-19 08:20:31"
000691,000156,9800520946,9020000236,300,2024-01-10,Done,"Shilaley Trilles","2023-07-19 14:34:55"
000692,000156,9800520946,9020000236,120,2024-01-11,Done,"Shilaley Trilles","2023-07-19 14:35:06"
000693,000156,9800520946,9020000236,780,2024-01-12,Done,"Shilaley Trilles","2023-07-19 14:35:17"
000694,000156,9800520943,9020000236,300,2024-01-11,Done,"Shilaley Trilles","2023-07-22 03:01:42"
000695,000156,9800520943,9020000236,60,2024-01-12,Done,"Shilaley Trilles","2023-07-22 03:01:50"
000696,000156,9800520943,9020000236,479,2024-12-13,Done,"Shilaley Trilles","2023-07-22 03:01:59"
000697,000156,9800520943,9020000236,120,2024-01-14,Done,"Shilaley Trilles","2023-07-22 03:02:05"
000698,000156,9800520943,9020000236,240,2024-01-15,Done,"Shilaley Trilles","2023-07-22 03:02:12"
000699,000156,9800520945,9020000236,480,2024-01-10,Done,"Christian Cordova","2023-07-19 10:45:40"
000700,000156,9800520945,9020000236,720,2024-01-11,Done,"Christian Cordova","2023-07-19 10:45:52"
000701,000157,9800520978,9010000049,640,2024-01-17,Done,"Shilaley Trilles","2023-07-19 10:45:27"
000702,000157,9800520975,9010000035,640,2024-01-18,Done,"Shilaley Trilles","2023-07-19 20:01:41"
000703,000157,9800520976,9010000035,640,2024-01-18,Done,"Shilaley Trilles","2023-07-19 22:47:39"
000704,000156,9800520942,9020000176,640,2024-03-30,Done,"Shilaley Trilles","2023-07-19 23:21:38"
000705,000157,9800520977,9010000035,640,2024-01-18,Done,"Shilaley Trilles","2023-07-20 00:16:01"
000706,000156,9800520948,9020000236,120,2024-01-14,Done,"Shilaley Trilles","2023-07-21 23:24:31"
000707,000156,9800520948,9020000236,180,2024-01-11,Done,"Shilaley Trilles","2023-07-21 23:24:39"
000708,000156,9800520948,9020000236,480,2024-01-13,Done,"Shilaley Trilles","2023-07-21 23:24:47"
000709,000156,9800520948,9020000236,300,2024-01-12,Done,"Shilaley Trilles","2023-07-21 23:24:55"
000710,000156,9800520948,9020000236,120,2024-01-10,Done,"Shilaley Trilles","2023-07-21 23:25:03"
000711,000152,9800520355,9010000049,40,2023-12-14,Done,"Shilaley Trilles","2023-07-20 05:32:02"
000712,000152,9800520355,9010000049,840,2023-12-15,Done,"Shilaley Trilles","2023-07-20 05:32:08"
000713,000152,9800520351,9010000049,1040,2023-12-14,Done,"Shilaley Trilles","2023-07-20 01:18:47"
000714,000157,9800520986,9010000049,640,2024-01-17,Done,"Christian Cordova","2023-07-20 07:23:54"
000715,000157,9800520985,9010000049,640,2024-01-17,Done,"Christian Cordova","2023-07-20 08:23:27"
000716,000158,9800521539,9020000178,256,2024-03-26,Done,"Christian Cordova","2023-07-21 20:06:55"
000717,000158,9800521539,9020000178,32,2024-03-29,Done,"Christian Cordova","2023-07-21 20:07:10"
000718,000158,9800521539,9020000178,224,2024-04-01,Done,"Christian Cordova","2023-07-21 20:07:23"
000719,000158,9800521539,9020000178,128,2024-04-02,Done,"Christian Cordova","2023-07-21 20:07:36"
000720,000158,9800521535,9020000178,32,2024-03-29,Done,"Christian Cordova","2023-07-20 22:42:57"
000721,000158,9800521535,9020000178,608,2024-04-01,Done,"Christian Cordova","2023-07-20 22:43:06"
000722,000158,9800521536,9020000178,640,2024-04-01,Done,"Shilaley Trilles","2023-07-20 23:25:09"
000723,000158,9800521537,9020000236,1200,2024-01-15,Done,"Shilaley Trilles","2023-07-24 05:05:38"
000724,000005,INVADJ072023,9010000054,949,2023-12-06,Done,"John Carlo Arroyo","2023-07-20 07:04:37"
000725,000005,INVADJ072023-1,9020000231,42,2024-03-29,Done,"John Carlo Arroyo","2023-07-20 07:04:50"
000726,000158,9800521550,9020000236,1080,2024-01-11,Done,"Shilaley Trilles","2023-07-24 04:19:50"
000727,000158,9800521550,9020000236,120,2024-01-10,Done,"Shilaley Trilles","2023-07-24 04:20:00"
000728,000158,9800521543,9020000236,120,2024-01-12,Done,"Shilaley Trilles","2023-07-24 04:18:26"
000729,000158,9800521543,9020000236,300,2024-01-13,Done,"Shilaley Trilles","2023-07-24 04:18:12"
000730,000158,9800521543,9020000236,60,2024-01-14,Done,"Shilaley Trilles","2023-07-24 04:17:56"
000731,000158,9800521543,9020000236,720,2024-01-15,Done,"Shilaley Trilles","2023-07-24 04:17:40"
000732,000157,9800520988,9010000074,880,2024-01-13,Done,"Shilaley Trilles","2023-07-20 23:49:12"
000733,000157,9800520987,9010000074,880,2024-01-13,Done,"Shilaley Trilles","2023-07-20 22:29:59"
